Rank,Profile,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error
84,20260413_022349_audio-window-snn_grid_057_lr0_0001_bs64_hs32_ls32_mae,audio-window,mae,0.0001,64,32,32,0.709831,0.709476,0.709476,0.709476,8,Success,
85,20260413_025333_audio-window-snn_grid_063_lr0_0001_bs64_hs64_ls32_mae,audio-window,mae,0.0001,64,64,32,0.709831,0.709476,0.709476,0.709476,8,Success,
86,20260413_031406_audio-window-snn_grid_069_lr0_0001_bs64_hs128_ls32_mae,audio-window,mae,0.0001,64,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,
87,20260413_025736_audio-window-snn_grid_253_lr0_0010_bs32_hs32_ls16_mae,audio-window,mae,0.0010,32,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,
88,20260413_025936_audio-window-snn_grid_259_lr0_0010_bs32_hs64_ls16_mae,audio-window,mae,0.0010,32,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,
89,20260413_030217_audio-window-snn_grid_265_lr0_0010_bs32_hs128_ls16_mae,audio-window,mae,0.0010,32,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,
90,20260413_030405_audio-window-snn_grid_271_lr0_0010_bs64_hs32_ls16_mae,audio-window,mae,0.0010,64,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,
91,20260413_030705_audio-window-snn_grid_277_lr0_0010_bs64_hs64_ls16_mae,audio-window,mae,0.0010,64,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,
92,20260413_030915_audio-window-snn_grid_283_lr0_0010_bs64_hs128_ls16_mae,audio-window,mae,0.0010,64,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,
93,20260413_072026_audio-window-snn_grid_253_lr0_0010_bs32_hs32_ls16_mae,audio-window,mae,0.0010,32,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,
94,20260413_073031_audio-window-snn_grid_259_lr0_0010_bs32_hs64_ls16_mae,audio-window,mae,0.0010,32,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,
95,20260413_074036_audio-window-snn_grid_265_lr0_0010_bs32_hs128_ls16_mae,audio-window,mae,0.0010,32,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,
96,20260413_075040_audio-window-snn_grid_271_lr0_0010_bs64_hs32_ls16_mae,audio-window,mae,0.0010,64,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,
97,20260413_080043_audio-window-snn_grid_277_lr0_0010_bs64_hs64_ls16_mae,audio-window,mae,0.0010,64,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,
