Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
194,mae,0.0005,64,128,64,0.706671,0.715827,0.715827,8
195,mae,0.0003,16,32,64,0.717536,0.716703,0.716703,8
196,mae,0.0003,16,64,64,0.717536,0.716703,0.716703,8
197,mae,0.0003,16,128,64,0.717536,0.716703,0.716703,8
198,mae,0.0003,16,32,64,0.717536,0.716703,0.716703,8
199,mae,0.0003,16,64,64,0.717536,0.716703,0.716703,8
200,mae,0.0003,16,128,64,0.717536,0.716703,0.716703,8
201,mae,0.0010,8,32,32,0.775781,0.775442,0.775442,8
202,mae,0.0010,8,64,32,0.775781,0.775442,0.775442,8
203,mae,0.0010,8,128,32,0.775781,0.775442,0.775442,8
204,mae,0.0010,8,32,32,0.775781,0.775442,0.775442,8
205,mae,0.0010,8,64,32,0.775781,0.775442,0.775442,8
206,mae,0.0010,8,128,32,0.775781,0.775442,0.775442,8
207,mae,0.0010,8,32,16,0.778541,0.775477,0.775477,8
208,mae,0.0010,8,64,16,0.778541,0.775477,0.775477,8
209,mae,0.0010,8,128,16,0.778541,0.775477,0.775477,8
210,mae,0.0010,8,32,16,0.778541,0.775477,0.775477,8
211,mae,0.0010,8,64,16,0.778541,0.775477,0.775477,8
212,mae,0.0010,8,128,16,0.778541,0.775477,0.775477,8
213,mae,0.0003,8,32,16,0.778320,0.777306,0.777306,8
214,mae,0.0003,8,64,16,0.778320,0.777306,0.777306,8
215,mae,0.0003,8,128,16,0.778320,0.777306,0.777306,8
216,mae,0.0003,8,32,16,0.778320,0.777306,0.777306,8
217,mae,0.0003,8,64,16,0.778320,0.777306,0.777306,8
218,mae,0.0003,8,128,16,0.778320,0.777306,0.777306,8
219,mae,0.0005,8,32,64,0.782283,0.777369,0.777369,8
220,mae,0.0005,8,64,64,0.782283,0.777369,0.777369,8
221,mae,0.0005,8,128,64,0.782283,0.777369,0.777369,8
222,mae,0.0005,8,32,64,0.782283,0.777369,0.777369,8
223,mae,0.0005,8,64,64,0.782283,0.777369,0.777369,8
224,mae,0.0005,8,128,64,0.782283,0.777369,0.777369,8
225,mae,0.0005,8,32,32,0.779519,0.777447,0.777447,8
226,mae,0.0005,8,64,32,0.779519,0.777447,0.777447,8
227,mae,0.0005,8,128,32,0.779519,0.777447,0.777447,8
228,mae,0.0005,8,32,32,0.779519,0.777447,0.777447,8
229,mae,0.0005,8,64,32,0.779519,0.777447,0.777447,8
230,mae,0.0005,8,128,32,0.779519,0.777447,0.777447,8
231,mae,0.0003,8,32,32,0.778467,0.778089,0.778089,8
232,mae,0.0003,8,64,32,0.778467,0.778089,0.778089,8
233,mae,0.0003,8,128,32,0.778467,0.778089,0.778089,8
234,mae,0.0003,8,32,32,0.778467,0.778089,0.778089,8
235,mae,0.0003,8,64,32,0.778467,0.778089,0.778089,8
236,mae,0.0003,8,128,32,0.778467,0.778089,0.778089,8
237,mae,0.0001,8,64,64,0.779666,0.778640,0.778640,8
238,mae,0.0001,8,128,64,0.779666,0.778640,0.778640,8
239,mae,0.0001,8,32,64,0.779666,0.778640,0.778640,8
240,mae,0.0001,8,64,32,0.778735,0.778847,0.778847,8
241,mae,0.0001,8,128,32,0.778735,0.778847,0.778847,8
242,mae,0.0001,8,32,32,0.778735,0.778847,0.778847,8
243,mae,0.0003,8,32,64,0.780269,0.779355,0.779355,8
244,mae,0.0003,8,64,64,0.780269,0.779355,0.779355,8
245,mae,0.0003,8,128,64,0.780269,0.779355,0.779355,8
246,mae,0.0003,8,32,64,0.780269,0.779355,0.779355,8
247,mae,0.0003,8,64,64,0.780269,0.779355,0.779355,8
248,mae,0.0003,8,128,64,0.780269,0.779355,0.779355,8
249,mae,0.0001,8,128,16,0.778705,0.779579,0.779579,8
250,mae,0.0001,8,64,16,0.778705,0.779579,0.779579,8
251,mae,0.0001,8,32,16,0.778705,0.779579,0.779579,8
252,mae,0.0010,8,32,64,0.781903,0.780374,0.780374,8
253,mae,0.0010,8,64,64,0.781903,0.780374,0.780374,8
254,mae,0.0010,8,128,64,0.781903,0.780374,0.780374,8
255,mae,0.0010,8,32,64,0.781903,0.780374,0.780374,8
256,mae,0.0010,8,64,64,0.781903,0.780374,0.780374,8
257,mae,0.0010,8,128,64,0.781903,0.780374,0.780374,8
258,mae,0.0005,8,32,16,0.776961,0.781300,0.781300,8
259,mae,0.0005,8,64,16,0.776961,0.781300,0.781300,8
260,mae,0.0005,8,128,16,0.776961,0.781300,0.781300,8
261,mae,0.0005,8,32,16,0.776961,0.781300,0.781300,8
262,mae,0.0005,8,64,16,0.776961,0.781300,0.781300,8
263,mae,0.0005,8,128,16,0.776961,0.781300,0.781300,8
264,mse,0.0001,32,32,32,0.955355,0.954851,0.954851,8
