Rank,Profile,Profile Signature,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error,Duplicate Runs
66,20260413_014950_audio-window-snn_grid_049_lr0_0001_bs32_hs128_ls16_mae,audio-window-snn_grid_049_lr0_0001_bs32_hs128_ls16_mae,audio-window,mae,0.0001,32,128,16,0.710071,0.710961,0.710961,0.710961,8,Success,,1
67,20260413_015230_audio-window-snn_grid_055_lr0_0001_bs64_hs32_ls16_mae,audio-window-snn_grid_055_lr0_0001_bs64_hs32_ls16_mae,audio-window,mae,0.0001,64,32,16,0.710071,0.710961,0.710961,0.710961,8,Success,,2
68,20260413_015421_audio-window-snn_grid_061_lr0_0001_bs64_hs64_ls16_mae,audio-window-snn_grid_061_lr0_0001_bs64_hs64_ls16_mae,audio-window,mae,0.0001,64,64,16,0.710071,0.710961,0.710961,0.710961,8,Success,,2
69,20260413_015709_audio-window-snn_grid_067_lr0_0001_bs64_hs128_ls16_mae,audio-window-snn_grid_067_lr0_0001_bs64_hs128_ls16_mae,audio-window,mae,0.0001,64,128,16,0.710071,0.710961,0.710961,0.710961,8,Success,,2
70,20260413_020320_audio-window-snn_grid_093_lr0_0003_bs16_hs32_ls32_mae,audio-window-snn_grid_093_lr0_0003_bs16_hs32_ls32_mae,audio-window,mae,0.0003,16,32,32,0.711859,0.711173,0.711173,0.711173,8,Success,,2
71,20260413_020420_audio-window-snn_grid_099_lr0_0003_bs16_hs64_ls32_mae,audio-window-snn_grid_099_lr0_0003_bs16_hs64_ls32_mae,audio-window,mae,0.0003,16,64,32,0.711859,0.711173,0.711173,0.711173,8,Success,,2
72,20260413_020641_audio-window-snn_grid_105_lr0_0003_bs16_hs128_ls32_mae,audio-window-snn_grid_105_lr0_0003_bs16_hs128_ls32_mae,audio-window,mae,0.0003,16,128,32,0.711859,0.711173,0.711173,0.711173,8,Success,,2
73,20260413_025159_audio-window-snn_grid_239_lr0_0010_bs16_hs32_ls64_mae,audio-window-snn_grid_239_lr0_0010_bs16_hs32_ls64_mae,audio-window,mae,0.0010,16,32,64,0.716401,0.713198,0.713198,0.713198,8,Success,,2
74,20260413_025316_audio-window-snn_grid_245_lr0_0010_bs16_hs64_ls64_mae,audio-window-snn_grid_245_lr0_0010_bs16_hs64_ls64_mae,audio-window,mae,0.0010,16,64,64,0.716401,0.713198,0.713198,0.713198,8,Success,,2
75,20260413_025527_audio-window-snn_grid_251_lr0_0010_bs16_hs128_ls64_mae,audio-window-snn_grid_251_lr0_0010_bs16_hs128_ls64_mae,audio-window,mae,0.0010,16,128,64,0.716401,0.713198,0.713198,0.713198,8,Success,,2
76,20260413_010127_audio-window-snn_grid_019_lr0_0001_bs16_hs32_ls16_mae,audio-window-snn_grid_019_lr0_0001_bs16_hs32_ls16_mae,audio-window,mae,0.0001,16,32,16,0.713725,0.713596,0.713596,0.713596,8,Success,,1
77,20260413_010353_audio-window-snn_grid_021_lr0_0001_bs16_hs32_ls32_mae,audio-window-snn_grid_021_lr0_0001_bs16_hs32_ls32_mae,audio-window,mae,0.0001,16,32,32,0.713725,0.713596,0.713596,0.713596,8,Success,,1
78,20260413_010846_audio-window-snn_grid_025_lr0_0001_bs16_hs64_ls16_mae,audio-window-snn_grid_025_lr0_0001_bs16_hs64_ls16_mae,audio-window,mae,0.0001,16,64,16,0.713725,0.713596,0.713596,0.713596,8,Success,,1
79,20260413_011112_audio-window-snn_grid_027_lr0_0001_bs16_hs64_ls32_mae,audio-window-snn_grid_027_lr0_0001_bs16_hs64_ls32_mae,audio-window,mae,0.0001,16,64,32,0.713725,0.713596,0.713596,0.713596,8,Success,,1
80,20260413_011605_audio-window-snn_grid_031_lr0_0001_bs16_hs128_ls16_mae,audio-window-snn_grid_031_lr0_0001_bs16_hs128_ls16_mae,audio-window,mae,0.0001,16,128,16,0.713725,0.713596,0.713596,0.713596,8,Success,,1
81,20260413_011831_audio-window-snn_grid_033_lr0_0001_bs16_hs128_ls32_mae,audio-window-snn_grid_033_lr0_0001_bs16_hs128_ls32_mae,audio-window,mae,0.0001,16,128,32,0.713725,0.713596,0.713596,0.713596,8,Success,,1
82,20260413_010620_audio-window-snn_grid_023_lr0_0001_bs16_hs32_ls64_mae,audio-window-snn_grid_023_lr0_0001_bs16_hs32_ls64_mae,audio-window,mae,0.0001,16,32,64,0.716761,0.714128,0.714128,0.714128,8,Success,,1
83,20260413_011339_audio-window-snn_grid_029_lr0_0001_bs16_hs64_ls64_mae,audio-window-snn_grid_029_lr0_0001_bs16_hs64_ls64_mae,audio-window,mae,0.0001,16,64,64,0.716761,0.714128,0.714128,0.714128,8,Success,,1
