backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.000000,0.800000,1,42,9783383050935234930,0.125710,0.251832,0.490519,0.500000,0.500000,0.500000,0.872005,375337.000000,3185.787842,4.130085,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.000000,0.900000,1,42,9783383050935234930,0.110985,0.233949,0.550198,0.500000,0.500000,0.500000,0.886328,375447.000000,2769.758545,3.072961,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.000000,0.990000,1,42,9783383050935234930,0.117672,0.243130,0.523095,0.500000,0.500000,0.500000,0.881771,375412.000000,3409.702393,5.589774,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.500000,0.800000,1,42,9783383050935234930,0.114133,0.235518,0.537435,1.000000,1.000000,1.000000,0.916536,375679.000000,2373.236328,5.390237,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.500000,0.900000,1,42,9783383050935234930,0.127218,0.254741,0.484404,0.666667,1.000000,0.800000,0.835286,375055.000000,3260.697266,3.464004,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,1.500000,0.990000,1,42,9783383050935234930,0.113659,0.236174,0.539357,0.500000,0.500000,0.500000,0.868880,375313.000000,3665.974121,3.151534,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,latency,lstm,1,0.000000,0.000000,2,43,9783383050935234930,0.101859,0.211790,0.587181,0.000000,0.000000,0.000000,0.000000,11842560.000000,86983.507812,323.018494,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.800000,2,43,9783383050935234930,0.106004,0.229319,0.570382,0.500000,0.500000,0.500000,0.903125,375576.000000,4644.688477,6.658491,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.900000,2,43,9783383050935234930,0.116552,0.241370,0.527634,0.500000,0.500000,0.500000,0.886068,375445.000000,3739.024902,2.071992,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.990000,2,43,9783383050935234930,0.107579,0.228506,0.564000,0.500000,0.500000,0.500000,0.885286,375439.000000,2700.042236,2.118226,37286,36864
