model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2070,28935,0,0.00092115,0.00542000
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2070,28936,1,0.33707720,0.39043340
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2070,28937,2,0.37844068,0.41849440
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2071,28942,0,0.00886459,0.02625101
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2071,28943,1,0.25116795,0.31343564
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2071,28944,2,0.25242782,0.31452134
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2072,28950,0,0.01021710,0.03008701
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2072,28951,1,0.32149044,0.37379116
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2072,28952,2,0.21927880,0.28232381
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2073,28961,0,0.00047528,0.00650145
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2073,28962,1,0.27443194,0.33621967
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2073,28963,2,0.41275480,0.45502108
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2074,28966,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2074,28967,1,0.37511081,0.43536294
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2074,28968,2,0.25023040,0.30658054
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2075,28976,0,0.00434285,0.01430495
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2075,28977,1,0.30364347,0.35475641
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2075,28978,2,0.21921067,0.28221262
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2076,28984,0,0.00445271,0.01152098
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2076,28985,1,0.24765912,0.30575752
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2076,28986,2,0.32091597,0.38045582
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2077,28990,0,0.00877049,0.02800924
