backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,3,44,1327769346908022152,val,3,0.014477,0.075890,0.985523,0.000000,0.000000,0.000000,0.063841,373543.000000,7801.725586,10.754273,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,3,44,1327769346908022152,val,3,0.019165,0.084670,0.980835,0.000000,0.000000,0.000000,0.053906,372780.000000,12263.788086,10.890883,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,3,44,1327769346908022152,val,3,0.007974,0.044635,0.989110,0.000000,0.000000,0.000000,0.081810,374923.000000,22787.230469,12.589010,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,3,44,1327769346908022152,val,3,0.014407,0.080980,0.980325,0.000000,0.000000,0.000000,0.098659,376217.000000,9100.568359,13.119945,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,3,44,1327769346908022152,val,3,0.008052,0.049606,0.989004,0.000000,0.000000,0.000000,0.077240,374572.000000,17329.789062,12.245808,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,3,44,1327769346908022152,val,3,0.012155,0.073040,0.983402,0.000000,0.000000,0.000000,0.097786,376150.000000,9000.333008,12.437734,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,3,44,1327769346908022152,val,3,0.008217,0.047005,0.988779,0.000000,0.000000,0.000000,0.086107,375253.000000,9003.670898,12.001502,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,3,44,1327769346908022152,val,3,0.007495,0.046376,0.989765,0.000000,0.000000,0.000000,0.076497,374515.000000,9221.439453,12.171637,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,3,44,1327769346908022152,val,3,0.018655,0.091130,0.974524,0.000000,0.000000,0.000000,0.111276,377186.000000,9019.485352,12.285130,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,3,44,1327769346908022152,val,3,0.010032,0.059269,0.986301,0.000000,0.000000,0.000000,0.095156,375948.000000,7846.244629,12.086221,37286,36864
