born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
35,4,2,95-18-3-2,direct,1,1,2,0.0499997,0.908598,-0.858598,-0.0414024,1.85906,1.89143,0.00584571,0.281786,52670,26090,0.05218,1,0
35,2,3,13-3,direct,1,1,2,0.117445,0.909215,-0.79177,0.02666,1.79197,1.81489,0.00631869,1.01215,7019,3367,0.006734,1,0
35,3,3,104-79-3,direct,1,1,0,0.242313,0.918607,-0.676294,0.16092,1.684,1.79364,0.0109757,0.449723,70779,35077,0.070154,1,0
35,1,23,23,direct,1,1,1,0.239776,0.931516,-0.69174,0.171292,1.70039,1.8029,0.00221014,0.327601,12055,5888,0.011776,1,0
35,1,59,59,direct,1,1,1,0.276188,0.933995,-0.657807,0.210183,1.67108,1.79654,0.00220905,0.260533,30523,15104,0.030208,1,0
35,3,2,72-24-2,direct,1,1,0,0.159835,0.916336,-0.756501,0.0761712,1.75815,1.83629,0.0318285,0.493475,40866,20208,0.040416,1,0
35,3,12,85-71-12,direct,1,1,0,0.198234,0.922696,-0.724463,0.12093,1.7287,1.81011,0.00928934,0.317991,57874,28647,0.057294,1,0
35,2,3,47-3,direct,1,1,1,0.221017,0.915476,-0.694459,0.136494,1.69995,1.79063,0.0103703,0.440086,24699,12173,0.024346,1,0
35,3,2,9-3-2,direct,1,1,2,0.0780668,0.921164,-0.843097,-0.000769222,1.8431,1.87858,0.0253592,0.468994,4956,2337,0.004674,1,0
36,2,12,52-12,direct,1,1,2,0.211734,0.922906,-0.711172,0.13464,1.71646,1.7991,0.00349497,0.374039,28244,13936,0.027872,1,0
36,1,24,24,direct,1,1,2,0.268114,0.933383,-0.665269,0.201497,1.67741,1.79581,0.000266499,0.318612,12568,6144,0.012288,1,0
36,1,5,5,direct,1,1,2,0.153091,0.912593,-0.759501,0.0656839,1.76073,1.81049,0.00802854,0.479151,2821,1280,0.00256,1,0
36,2,44,93-44,direct,1,1,2,0.256966,0.93192,-0.674955,0.188886,1.68557,1.80086,0.00387968,0.249198,56286,27900,0.0558,1,0
36,2,74,83-74,direct,1,1,1,0.277808,0.932617,-0.654809,0.210424,1.66813,1.79656,0.0044889,0.19381,55276,27390,0.05478,1,0
36,2,44,104-44,direct,1,1,0,0.294339,0.933381,-0.639042,0.22772,1.65479,1.79524,0.00591253,0.245914,62908,31200,0.0624,1,0
36,3,3,44-32-3,direct,1,1,1,0.147661,0.911552,-0.763891,0.0592126,1.76489,1.81469,0.0140596,0.454671,25947,12768,0.025536,1,0
36,2,41,59-41,direct,1,1,1,0.266547,0.931481,-0.664934,0.198028,1.67667,1.79674,0.00287684,0.257893,35461,17523,0.035046,1,0
36,2,23,32-23,direct,1,1,2,0.229564,0.930435,-0.70087,0.159999,1.70838,1.80247,0.000321623,0.319828,18199,8928,0.017856,1,0
36,2,24,49-24,direct,1,1,0,0.253905,0.931911,-0.678006,0.185816,1.68826,1.79954,0.00313769,0.283629,27818,13720,0.02744,1,0
37,1,50,50,direct,1,1,0,0.266017,0.933077,-0.667059,0.199094,1.67891,1.79619,0.000906244,0.279426,25906,12800,0.0256,1,0
37,2,84,85-84,direct,1,1,2,0.284634,0.935576,-0.650941,0.22021,1.66556,1.79601,0.00185818,0.206513,58310,28900,0.0578,1,0
37,2,1,72-1,direct,1,1,2,0.0459177,0.90754,-0.861622,-0.0465426,1.8622,1.89816,0.00650783,0.649166,37409,18504,0.037008,1,0
37,2,3,110-3,direct,1,1,2,0.173863,0.906085,-0.732221,0.0799481,1.73407,1.78614,0.00384637,0.499217,57459,28490,0.05698,1,0
37,2,12,66-12,direct,1,1,0,0.258326,0.926929,-0.668603,0.185255,1.67886,1.79731,0.00730671,0.359443,35776,17688,0.035376,1,0
37,2,92,93-92,direct,1,1,0,0.277579,0.936471,-0.658891,0.21405,1.67264,1.7993,0.00114004,0.18713,65262,32364,0.064728,1,0
37,1,106,106,direct,1,1,1,0.295268,0.936519,-0.641251,0.231788,1.65754,1.7983,0.0035776,0.220082,54634,27136,0.054272,1,0
37,2,24,128-24,direct,1,1,2,0.273531,0.935549,-0.662018,0.20908,1.67512,1.79977,0.00154243,0.271567,72216,35840,0.07168,1,0
38,3,3,104-12-3,direct,1,1,1,0.187633,0.921825,-0.734193,0.109458,1.73764,1.81629,0.0102709,0.478723,56307,27908,0.055816,1,0
38,2,24,28-24,direct,1,1,2,0.224022,0.924774,-0.700752,0.148796,1.70725,1.79837,0.00300287,0.270284,16016,7840,0.01568,1,0
38,2,42,44-42,direct,1,1,0,0.235503,0.928266,-0.692763,0.163769,1.70067,1.79987,0.00295348,0.237451,26610,13112,0.026224,1,0
38,3,12,85-28-12,direct,1,1,1,0.233413,0.925562,-0.692149,0.158975,1.6996,1.80267,0.00996111,0.370979,49446,24476,0.048952,1,0
38,2,1,12-1,direct,1,1,2,0.0473319,0.906349,-0.859017,-0.0463189,1.85959,1.90018,0.0178636,0.814296,6449,3084,0.006168,1,0
38,2,6,121-6,direct,1,1,2,0.246093,0.924691,-0.678598,0.170784,1.68726,1.79797,0.0106812,0.438572,63908,31702,0.063404,1,0
38,2,12,82-12,direct,1,1,2,0.272103,0.927789,-0.655686,0.199892,1.66771,1.79429,0.00770661,0.359393,44384,21976,0.043952,1,0
38,2,3,38-3,direct,1,1,1,0.214887,0.909656,-0.694769,0.124543,1.69934,1.80286,0.0228176,0.385759,20019,9842,0.019684,1,0
38,3,3,85-26-3,direct,1,1,1,0.138458,0.906393,-0.767936,0.0448509,1.7685,1.80831,0.0131789,0.526745,48577,24048,0.048096,1,0
38,2,3,4-3,direct,1,1,2,0.0882301,0.912698,-0.824468,0.00092847,1.82447,1.85242,0.0336081,0.709841,2339,1036,0.002072,1,0
38,3,2,119-72-2,direct,1,1,0,0.15376,0.889418,-0.735658,0.0431784,1.73619,1.78086,0.0146156,0.579811,78992,39176,0.078352,1,0
39,2,52,60-52,direct,1,1,1,0.247439,0.932107,-0.684668,0.179546,1.69421,1.80134,0.00145368,0.228247,37388,18480,0.03696,1,0
39,2,1,38-1,direct,1,1,2,0.0570063,0.908598,-0.851592,-0.0343958,1.85191,1.89717,0.0183339,0.77521,19865,9766,0.019532,1,0
39,2,12,115-12,direct,1,1,0,0.25734,0.930941,-0.673601,0.188282,1.68416,1.80347,0.00638025,0.341609,62138,30820,0.06164,1,0
39,3,2,75-72-2,direct,1,1,0,0.197144,0.912302,-0.715157,0.109446,1.71865,1.80387,0.0169673,0.539811,50040,24744,0.049488,1,0
39,3,2,75-12-2,direct,1,1,2,0.18059,0.904167,-0.723577,0.0847563,1.72566,1.80634,0.0265253,0.516146,40680,20124,0.040248,1,0
39,3,72,119-107-72,direct,1,1,1,0.275518,0.933155,-0.657637,0.208673,1.67072,1.79653,0.00252828,0.201267,102582,50901,0.101802,1,0
39,2,12,40-12,direct,1,1,1,0.240516,0.930622,-0.690105,0.171138,1.69875,1.81288,0.0104192,0.316422,21788,10720,0.02144,1,0
39,2,5,99-5,direct,1,1,1,0.276436,0.920714,-0.644279,0.19715,1.65606,1.7857,0.0145602,0.443979,52137,25839,0.051678,1,0
39,2,24,94-24,direct,1,1,1,0.277799,0.933438,-0.655639,0.211237,1.66906,1.79688,0.00294399,0.273829,53108,26320,0.05264,1,0
39,2,3,21-3,direct,1,1,2,0.153073,0.917813,-0.76474,0.0708865,1.76616,1.81804,0.00790165,0.587028,11179,5439,0.010878,1,0
40,2,72,119-72,direct,1,1,0,0.287842,0.936381,-0.64854,0.224223,1.66372,1.79884,0.00266816,0.206801,78630,39032,0.078064,1,0
40,3,12,94-37-12,direct,1,1,2,0.229023,0.924493,-0.69547,0.153516,1.70241,1.79576,0.00243602,0.375441,56502,27986,0.055972,1,0
