Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
105	:	1776057489.694	   182.740	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_145_lr0.0005_bs8_hs32_ls16_mae.json
102	:	1776057398.269	   285.437	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_142_lr0.0003_bs64_hs128_ls64_mse.json
106	:	1776057523.055	   172.310	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_146_lr0.0005_bs8_hs32_ls32_mse.json
107	:	1776057531.768	   190.354	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_147_lr0.0005_bs8_hs32_ls32_mae.json
108	:	1776057549.630	   174.902	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_148_lr0.0005_bs8_hs32_ls64_mse.json
101	:	1776057388.621	   341.470	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_141_lr0.0003_bs64_hs128_ls32_mae.json
109	:	1776057570.259	   192.549	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_149_lr0.0005_bs8_hs32_ls64_mae.json
103	:	1776057422.963	   344.909	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_143_lr0.0003_bs64_hs128_ls64_mae.json
110	:	1776057599.834	   171.592	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_150_lr0.0005_bs8_hs64_ls16_mse.json
111	:	1776057618.440	   185.950	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_151_lr0.0005_bs8_hs64_ls16_mae.json
112	:	1776057642.140	   170.263	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_152_lr0.0005_bs8_hs64_ls32_mse.json
114	:	1776057672.454	   166.130	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_154_lr0.0005_bs8_hs64_ls64_mse.json
